timestamp,raw_samples,trim_samples,resample_samples,t_audio_stop_ms,t_resample_ms,t_whisper_ms,t_total_ms
1771651688.1829882,235200,235200,78400,330,0,394,725
1771651694.815886,249600,249600,83200,265,1,350,625
1771651702.553133,302400,302400,100800,273,0,368,643
1771651707.840886,196800,196800,65600,280,0,331,612
1771651714.988451,240000,240000,80000,274,0,313,588
1771652550.670463,172800,172800,57600,279,0,1124,1405
1771652558.6463099,249600,249600,83200,257,0,366,624
1771652566.157387,268800,268800,89600,258,0,320,580
1771652572.58176,220800,220800,73600,268,0,354,624
1771652580.1743798,273600,273600,91200,294,0,438,733
1771652585.461656,196800,196800,65600,302,0,316,619
1771653106.221686,273600,273600,91200,767,1,362,1131
1771653112.904784,244800,244800,81600,778,7,373,1160
1771653120.786129,312000,312000,104000,763,18,358,1142
1771653128.716768,331200,331200,110400,760,1,345,1107
1771653135.662819,268800,268800,89600,790,1,346,1138
1771653306.139501,288000,288000,96000,803,1,588,1393
1771653312.930719,254400,254400,84800,777,1,378,1157
1771653319.857356,244800,244800,81600,775,1,347,1124
1771653327.645973,316800,316800,105600,779,1,366,1147
1771653334.3679662,244800,244800,81600,784,1,328,1114
